sep=,
DeviceTag:,15,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
StartTime:,2023-07-14 13:21:32.000 +0900,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
23, 54480326, 1.0641010999679565, -0.2743021249771118, -78.14598846435547, 0.04217778891324997, 0.1686539351940155, 9.18072509765625, 0.09178952127695084, 0.09744992107152939, 0.25408440828323364, 
24, 54496993, 1.0647602081298828, -0.27408313751220703, -78.14627075195312, 0.04468471184372902, 0.16888996958732605, 9.170658111572266, 0.05891561135649681, 0.023710953071713448, 0.3106372058391571, 
25, 54513660, 1.0645471811294556, -0.27238568663597107, -78.19972229003906, 0.0455501452088356, 0.1800331473350525, 9.203607559204102, 0.004936848301440477, 0.10982085764408112, 0.22126172482967377, 
26, 54530327, 1.0654717683792114, -0.27120646834373474, -78.18276977539062, 0.05071790888905525, 0.15898045897483826, 9.202704429626465, 0.0639100968837738, 0.07943138480186462, 0.2196609228849411, 
27, 54546994, 1.0647307634353638, -0.27242597937583923, -78.18171691894531, 0.03682786598801613, 0.17839571833610535, 9.191697120666504, -0.028033098205924034, -0.05897323414683342, 0.28683018684387207, 
28, 54563661, 1.0647343397140503, -0.2708015739917755, -78.15214538574219, 0.0361018143594265, 0.17923235893249512, 9.176133155822754, 0.00984808150678873, 0.10654882341623306, 0.25159353017807007, 
29, 54580328, 1.0651347637176514, -0.26951903104782104, -78.13392639160156, 0.04862203821539879, 0.1691579669713974, 9.174320220947266, 0.02783459983766079, 0.08030220866203308, 0.2761881351470947, 
30, 54596995, 1.066021203994751, -0.2684219181537628, -78.14794158935547, 0.04567903280258179, 0.17381814122200012, 9.18438720703125, 0.05735323205590248, 0.0728745311498642, 0.23931865394115448, 
31, 54613662, 1.0656633377075195, -0.2689792811870575, -78.16007995605469, 0.04729883000254631, 0.16297835111618042, 9.1898832321167, -0.018979009240865707, -0.027021395042538643, 0.21470485627651215, 
32, 54630329, 1.066206932067871, -0.26805734634399414, -78.15681457519531, 0.05470166727900505, 0.16840359568595886, 9.208197593688965, 0.03925786167383194, 0.06717570871114731, 0.3540635406970978, 
