sep=,
DeviceTag:,15,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities,,,,,,,,,,,,,,,,,
StartTime:,2023-07-20 16:10:25.154 +0900,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
1893, 704979431, -2.877208709716797, 7.446520805358887, 5.328177452087402, 22.122631072998047, 5.9691081047058105, -1.7578538656234741
1894, 704996098, -2.8702282905578613, 6.626802921295166, 4.824638843536377, 11.558268547058105, 14.019356727600098, 2.7148211002349854
1895, 705012765, -2.973452568054199, 6.9422125816345215, 4.39093542098999, 4.756252288818359, 13.85805606842041, 10.324010848999023
1896, 705029432, -2.9676342010498047, 7.925437927246094, 4.619714260101318, 11.50419807434082, 4.601133346557617, 11.655441284179688
1897, 705046099, -3.018310070037842, 8.017312049865723, 5.200294017791748, 15.613189697265625, 0.22327250242233276, 3.0855839252471924
1898, 705062766, -2.7803261280059814, 7.464389801025391, 5.205943584442139, 13.589603424072266, 5.419593811035156, -3.428147077560425
1899, 705079433, -2.7509207725524902, 6.864850997924805, 4.737874984741211, 5.089827060699463, 7.269814491271973, 1.2016520500183105
1900, 705096100, -2.996321439743042, 7.106291770935059, 4.527730464935303, -7.826273441314697, 2.277745246887207, 11.193493843078613
1901, 705112767, -3.039285182952881, 7.341707706451416, 4.678893089294434, -15.77829360961914, -1.3079274892807007, 13.810493469238281
1902, 705129434, -2.8711259365081787, 7.235228538513184, 4.8662519454956055, -22.831989288330078, -1.4029392004013062, 15.59296703338623
1903, 705146101, -2.4811770915985107, 7.509268760681152, 4.797368049621582, -28.315658569335938, -4.983485221862793, 21.463035583496094
1904, 705162768, -2.6837472915649414, 7.872522830963135, 5.222592830657959, -24.673494338989258, -8.444930076599121, 15.714849472045898
1905, 705179435, -2.7295265197753906, 7.296235084533691, 5.032221794128418, -26.770544052124023, -3.467392683029175, 7.46674919128418
1906, 705196102, -2.678278684616089, 6.323446273803711, 4.538435935974121, -50.04049301147461, -9.19060230255127, 10.983168601989746
1907, 705212769, -2.8916893005371094, 5.846730709075928, 4.839689254760742, -103.89703369140625, -21.35898208618164, 22.373228073120117
1908, 705229436, -2.802626609802246, 5.317772388458252, 5.92399263381958, -203.20843505859375, -24.052820205688477, 29.299455642700195
1909, 705246103, -2.462742328643799, 5.071098804473877, 7.082484722137451, -357.3674011230469, -26.662269592285156, 30.12782859802246
1910, 705262770, -2.3762729167938232, 4.853353977203369, 9.087506294250488, -539.2205810546875, -28.712791442871094, 23.70695686340332
1911, 705279437, -2.210313558578491, 4.226742744445801, 10.801231384277344, -852.7584838867188, -28.05205535888672, 2.6231868267059326
1912, 705296104, -1.0557550191879272, 5.022556304931641, 10.761425971984863, -1264.2230224609375, -55.377803802490234, -26.605331420898438
1913, 705312771, -1.7786921262741089, 4.312755584716797, 5.520410537719727, -1261.91552734375, -128.65977478027344, -94.26226043701172
1914, 705329438, -3.2065658569335938, -0.9839634895324707, 7.631164073944092, -708.3640747070312, -134.00221252441406, -198.777587890625
1915, 705346105, -1.3738213777542114, -6.984132289886475, 7.243918418884277, -487.8941345214844, -65.04816436767578, -247.97467041015625
1916, 705362772, 1.3616299629211426, -11.299806594848633, 4.567830562591553, -201.53964233398438, -24.10089683532715, -156.50830078125
1917, 705379439, 1.5002799034118652, -12.158112525939941, 6.411202430725098, -51.083560943603516, 8.934176445007324, -11.494413375854492
1918, 705396106, 0.6108624935150146, -8.818216323852539, 6.754970550537109, -39.98786163330078, 26.841629028320312, 60.36351776123047
1919, 705412773, 0.01795222796499729, -6.802807331085205, 5.99580192565918, -96.8857650756836, 18.91041374206543, 35.09854507446289
1920, 705429440, 0.01799287460744381, -7.078839302062988, 5.5056471824646, -187.39712524414062, 2.8101699352264404, -5.603420734405518
1921, 705446107, -0.25582176446914673, -7.727686405181885, 5.154951095581055, -286.5390319824219, -12.302460670471191, -21.697956085205078
1922, 705462774, -0.6049883365631104, -7.6978759765625, 4.888618469238281, -375.2175598144531, -16.89321517944336, -33.63380813598633
1923, 705479441, -0.41165870428085327, -8.323375701904297, 4.99038553237915, -447.4066162109375, -3.674175977706909, -56.310150146484375
1924, 705496108, 0.484305739402771, -9.612046241760254, 6.798515796661377, -713.0247802734375, 14.04222297668457, -77.05782318115234
1925, 705512775, 1.1988871097564697, -10.125287055969238, 7.629608631134033, -1148.13232421875, 51.96332931518555, -101.648681640625
1926, 705529442, 3.303675651550293, -9.015686988830566, -1.69635009765625, -1469.9761962890625, 153.91683959960938, -66.65420532226562
1927, 705546109, 0.25917357206344604, 0.32854413986206055, -11.175864219665527, -824.8511962890625, 257.43133544921875, 102.2707290649414
1928, 705562776, 1.2902891635894775, 4.702269077301025, -14.085290908813477, -362.1404724121094, 192.0904541015625, 49.2391471862793
1929, 705579443, 2.4119021892547607, 0.1729070544242859, -13.63209342956543, -75.9728775024414, 58.81929397583008, -35.64139938354492
1930, 705596110, 1.9082176685333252, -5.545223712921143, -10.543302536010742, 10.45577335357666, -24.998613357543945, -51.13883590698242
1931, 705612777, 2.0127415657043457, -6.907227039337158, -8.49383544921875, -12.067959785461426, -15.01542854309082, -22.247106552124023
1932, 705629444, 2.176901340484619, -6.031833171844482, -9.841255187988281, -27.99679183959961, 10.446525573730469, -1.6479134559631348
1933, 705646111, 2.078462600708008, -4.753057956695557, -10.179927825927734, -26.006362915039062, -9.201286315917969, 6.08068323135376
1934, 705662778, 1.3940329551696777, -3.9167375564575195, -8.265588760375977, -13.02869701385498, -21.198781967163086, -2.869563579559326
1935, 705679445, 1.2887656688690186, -4.414330005645752, -7.4452223777771, 3.0416176319122314, -0.731460452079773, -8.316969871520996
1936, 705696112, 1.565269947052002, -4.945333957672119, -8.544919967651367, 2.3986504077911377, 15.06399917602539, -5.091501712799072
1937, 705712779, 2.0816426277160645, -5.088618278503418, -9.674641609191895, -1.865898847579956, 12.303187370300293, -2.1876583099365234
1938, 705729446, 2.3602712154388428, -4.927981376647949, -9.702993392944336, -4.145350933074951, 1.4418092966079712, 2.23176908493042
1939, 705746113, 2.1192586421966553, -4.574380397796631, -9.177075386047363, -3.8981122970581055, -5.158423900604248, 3.085427761077881
1940, 705762780, 1.8320037126541138, -4.522337913513184, -8.626866340637207, 1.7498151063919067, -4.932123184204102, 1.4489939212799072
1941, 705779447, 1.787550926208496, -4.720881462097168, -8.659815788269043, 4.987478256225586, 0.90883469581604, 0.9961996674537659
1942, 705796114, 1.7833895683288574, -4.851810932159424, -9.130921363830566, 5.143011093139648, 2.8347434997558594, 1.2101681232452393
1943, 705812781, 1.9019571542739868, -4.980079174041748, -9.278319358825684, 2.242513656616211, 1.3924535512924194, 1.347785234451294
1944, 705829448, 1.9983447790145874, -4.648447513580322, -9.082605361938477, 2.5300803184509277, -1.8510301113128662, 3.400374174118042
1945, 705846115, 2.0095930099487305, -4.567943096160889, -9.120543479919434, 4.613916873931885, -0.8525187969207764, 0.9527477025985718
1946, 705862782, 1.784535527229309, -4.628137588500977, -8.952679634094238, 8.210403442382812, -4.581472873687744, -0.8171478509902954
1947, 705879449, 1.794438362121582, -4.886902332305908, -9.031636238098145, 20.148216247558594, -4.662069320678711, 2.521350383758545
1948, 705896116, 1.8315104246139526, -4.890166759490967, -9.255383491516113, 31.505313873291016, -8.035645484924316, 7.4375410079956055
1949, 705912783, 1.8245689868927002, -4.8899335861206055, -9.145210266113281, 40.20432662963867, -10.294319152832031, 7.4814453125
1950, 705929450, 1.8425356149673462, -4.95063591003418, -9.083945274353027, 52.271812438964844, -8.692974090576172, 7.71462869644165
1951, 705946117, 1.8017232418060303, -5.178413391113281, -8.661154747009277, 55.25924301147461, -11.556260108947754, 5.47679328918457
1952, 705962784, 1.5142005681991577, -5.496756553649902, -8.205945014953613, 47.426719665527344, -9.143386840820312, 4.896388530731201
1953, 705979451, 1.6702356338500977, -5.565542221069336, -8.34154987335205, 36.51999282836914, -2.4365603923797607, 6.230503559112549
1954, 705996118, 1.6454579830169678, -5.53105354309082, -8.885286331176758, 37.17289733886719, -2.5166139602661133, 7.2229132652282715
1955, 706012785, 1.5949715375900269, -5.711767196655273, -9.34083080291748, 58.721431732177734, -11.445709228515625, 11.506278991699219
1956, 706029452, 1.664874792098999, -6.124720096588135, -10.145017623901367, 116.86286926269531, -20.198650360107422, 26.40610122680664
1957, 706046119, 1.6621341705322266, -6.508506774902344, -10.636186599731445, 227.36622619628906, -40.00154495239258, 61.25143814086914
1958, 706062786, 1.6383754014968872, -6.704351425170898, -10.14624309539795, 378.3384094238281, -48.654518127441406, 106.54608917236328
1959, 706079453, 1.0247902870178223, -5.639232635498047, -10.340123176574707, 599.9944458007812, -43.10645294189453, 140.9701385498047
1960, 706096120, 0.6721674799919128, -4.263242244720459, -11.344261169433594, 935.63330078125, -62.96179962158203, 145.57626342773438
1961, 706112787, 1.4056109189987183, -4.524842739105225, -2.8282203674316406, 1261.712158203125, -128.62637329101562, 153.01412963867188
1962, 706129454, 0.6537668108940125, -6.528748035430908, 11.085064888000488, 946.5426025390625, -136.25694274902344, 154.01559448242188
1963, 706146121, -2.432520866394043, -6.8224592208862305, 11.35846996307373, 568.7885131835938, 14.977920532226562, 126.48948669433594
1964, 706162788, -2.416022300720215, -6.3964080810546875, 6.824655055999756, 362.37713623046875, 87.11553192138672, 57.52153778076172
1965, 706179455, -0.5352833271026611, -6.972548007965088, 4.306423187255859, 213.63966369628906, 38.25491714477539, 3.269101142883301
1966, 706196122, -0.10984860360622406, -7.240388870239258, 4.358450412750244, 148.6339874267578, -15.184895515441895, -23.719310760498047
1967, 706212789, -1.22735595703125, -6.939438819885254, 5.247995853424072, 169.4818878173828, -30.797691345214844, -25.47224235534668
1968, 706229456, -1.9178502559661865, -6.478976726531982, 7.2403974533081055, 233.5475311279297, -14.25816822052002, -7.4111857414245605
1969, 706246123, -1.485231637954712, -6.573809623718262, 8.195521354675293, 249.85110473632812, 21.7155704498291, 17.860565185546875
1970, 706262790, -1.1548104286193848, -6.488521099090576, 8.13796615600586, 215.78875732421875, 40.059513092041016, 43.283870697021484
1971, 706279457, -1.2919046878814697, -5.672710418701172, 8.109244346618652, 151.4355010986328, 36.99824523925781, 50.95558166503906
1972, 706296124, -1.4666692018508911, -4.617321968078613, 7.762362480163574, 109.87063598632812, 27.342592239379883, 43.04779052734375
1973, 706312791, -1.453163743019104, -3.574650287628174, 7.415454864501953, 93.71675872802734, 19.42487144470215, 23.76535987854004
1974, 706329458, -1.8467357158660889, -3.382638454437256, 6.492688179016113, 74.7414779663086, -1.9435935020446777, -0.1551007330417633
1975, 706346125, -1.973758578300476, -3.623490571975708, 7.7215495109558105, 91.8386459350586, -16.071992874145508, -10.468376159667969
1976, 706362792, -2.071751117706299, -3.873929023742676, 8.639410972595215, 71.366943359375, -10.894858360290527, -8.529367446899414
1977, 706379459, -1.937522530555725, -3.91074800491333, 9.01109790802002, 29.6581974029541, -2.7762207984924316, -6.907856464385986
